

From: ZZZ At: 11/29/21 10:26:36 UTC-5:00
To:  
Subject: Options: HY37 5Y


Exp: 15-Dec-21 Swaptions Ref: 108.1    CDX HY37
    K    |     Puts    Del |    Calls    Del |   Vol    Chg |  Prc Vol
     108 |   52 /  70   55 |   40 /  58  -45 |  41.7   +1.5 |    6.1 
  107.75 |   43 /  61   48 |   56 /  74  -52 |  44.0   +1.5 |    6.4 
   107.5 |   35 /  53   42 |   73 /  91  -58 |  46.3   +1.5 |    6.8 
  107.25 |   28 /  46   36 |   91 / 109  -64 |  47.8   +1.5 |    7.0 

Exp: 19-Jan-22 Swaptions Ref: 108.1    CDX HY37
    K    |     Puts    Del |    Calls    Del |   Vol    Chg |  Prc Vol
   108.5 |  140 / 160   72 |   29 /  49  -28 |  36.3   +0.5 |    5.3 
  108.25 |  125 / 145   67 |   39 /  59  -33 |  37.4   +0.5 |    5.5 
     108 |  113 / 133   63 |   52 /  72  -37 |  38.7   +0.5 |    5.7 
  107.75 |  102 / 122   58 |   67 /  87  -42 |  40.5   +1.3 |    5.9 
   107.5 |   96 / 116   54 |   85 / 105  -46 |  43.3   +2.0 |    6.3 
  107.25 |   88 / 108   50 |  103 / 123  -50 |  45.4   +2.8 |    6.6 
     107 |   82 / 102   47 |  121 / 141  -53 |  47.4   +3.5 |    6.9 
  106.75 |   74 /  94   44 |  138 / 158  -56 |  48.3   +3.8 |    7.1 
   106.5 |   68 /  88   41 |  157 / 177  -59 |  49.9   +4.1 |    7.3 
  106.25 |   63 /  83   38 |  177 / 197  -62 |  51.3   +4.4 |    7.5 
     106 |   58 /  78   36 |  197 / 217  -64 |  52.7   +4.8 |    7.7 
  105.75 |   54 /  74   33 |  218 / 238  -67 |  54.4   +5.1 |    8.0 
   105.5 |   50 /  70   31 |  240 / 260  -69 |  56.0   +5.4 |    8.2 
  105.25 |   47 /  67   30 |  261 / 281  -70 |  57.5   +5.7 |    8.4 
     105 |   44 /  64   28 |  283 / 303  -72 |  59.1   +6.0 |    8.6 
   104.5 |   37 /  57   24 |  326 / 346  -75 |  60.9   +6.0 |    8.9 
     104 |   31 /  51   22 |  371 / 391  -78 |  62.9   +6.0 |    9.2 
  103.75 |   28 /  48   20 |  393 / 413  -80 |  63.7   +6.0 |    9.3 
   103.5 |   26 /  46   19 |  415 / 435  -81 |  64.5   +6.0 |    9.4 

Exp: 16-Feb-22 Swaptions Ref: 108.1    CDX HY37
    K    |     Puts    Del |    Calls    Del |   Vol    Chg |  Prc Vol
  108.75 |  203 / 221   77 |   29 /  47  -23 |  37.2   +0.0 |    5.4 
   108.5 |  188 / 206   74 |   39 /  57  -26 |  38.4   +0.0 |    5.6 
  108.25 |  174 / 192   70 |   49 /  67  -30 |  39.5   +0.0 |    5.8 
     108 |  161 / 179   66 |   62 /  80  -34 |  40.9   +0.0 |    6.0 
  107.75 |  149 / 167   63 |   75 /  93  -37 |  42.0   +0.0 |    6.1 
   107.5 |  141 / 159   59 |   92 / 110  -41 |  44.1   +0.0 |    6.5 
  107.25 |  132 / 150   56 |  107 / 125  -44 |  45.4   +0.0 |    6.6 
     107 |  123 / 141   53 |  124 / 142  -47 |  46.7   +0.0 |    6.8 
  106.75 |  113 / 131   50 |  138 / 156  -50 |  47.1   +0.0 |    6.9 
   106.5 |  105 / 123   47 |  155 / 173  -53 |  48.0   +0.0 |    7.0 
  106.25 |   97 / 115   45 |  173 / 191  -55 |  48.8   +0.0 |    7.1 
     106 |   90 / 108   42 |  191 / 209  -58 |  49.6   +0.0 |    7.3 
